Techstack,Links
DBMS Certification,https://olympus.mygreatlearning.com/courses/64941/certificate?pb_id=581
Scalar Operating System,https://moonshot.scaler.com/s/sl/ARcO02Xi5u?_gl=1*xpac2a*_gcl_au*ODEzMjkzMjAzLjE3NDQ3OTcwMzkuMjA5OTQ3ODY4Ny4xNzQ3NzQ5MjA0LjE3NDc3NDkyMDM.*FPAU*ODEzMjkzMjAzLjE3NDQ3OTcwMzkuMTEwOTkyMDI3NC4xNzQ0Nzk3MDQ0LjE3NDQ3OTcwNDQ.*_ga*MTgzMjYwOTIzOC4xNzIzMDUxMTI1*_ga_53S71ZZG1X*czE3NDc3NDkyMDMkbzckZzEkdDE3NDc3NDk0MDYkajAkbDAkaDEwMzEzMTAxODMkZG5iZjZXUVB4UlZtWmJ1SXc2aVByRGZLbjAwYjM0OWxXQ0E.
